twitter_id,political_affiliation/party,coalition/block
857999360,Det Konservative Folkeparti,Blue
282002390,Liberal Alliance,Blue
82208553,Radikale Venstre,Red
2189798855,Radikale Venstre,Red
37435790,Socialistisk Folkeparti,Red
18411703,Liberal Alliance,Blue
1131430489,Dansk Folkeparti,Blue
31966215,Liberal Alliance,Blue
1431503712,Alternativet,Red
306655667,Det Konservative Folkeparti,Blue
2758030679,Socialdemokratiet,Red
67285604,Det Konservative Folkeparti,Blue
255907814,Socialistisk Folkeparti,Red
2300132975,Enhedslisten,Red
24364980,Liberal Alliance,Blue
2641312378,Liberal Alliance,Blue
2222360488,Socialistisk Folkeparti,Red
471285049,Radikale Venstre,Red
1061131015,Socialistisk Folkeparti,Red
2778799080,Alternativet,Red
542404193,Socialdemokratiet,Red
1083303182,Dansk Folkeparti,Blue
1198355593,Socialistisk Folkeparti,Red
2980984197,Liberal Alliance,Blue
69283469,Enhedslisten,Red
1316167693,Socialistisk Folkeparti,Red
2784799345,Liberal Alliance,Blue
129502852,Alternativet,Red
367572564,Det Konservative Folkeparti,Blue
1225952372,Enhedslisten,Red
73712505,Alternativet,Red
3025626230,Dansk Folkeparti,Blue
553361753,Socialistisk Folkeparti,Red
34248269,Socialdemokratiet,Red
611076925,Enhedslisten,Red
101303528,Dansk Folkeparti,Blue
2294932084,Enhedslisten,Red
460654917,Liberal Alliance,Blue
1160217654,Dansk Folkeparti,Blue
233289708,Radikale Venstre,Red
829712972,Dansk Folkeparti,Blue
1709458560,KristenDemokraterne,Blue
3079565003,Alternativet,Red
259199336,Socialdemokratiet,Red
912170022,Socialdemokratiet,Red
2789454841,Dansk Folkeparti,Blue
2412289363,Venstre,Blue
3144074691,Dansk Folkeparti,Blue
378468270,Venstre,Blue
1001218206,Alternativet,Red
179488326,Venstre,Blue
71238590,Socialdemokratiet,Red
2784153787,Socialdemokratiet,Red
402656653,Socialistisk Folkeparti,Red
2580786368,Socialdemokratiet,Red
34569194,Venstre,Blue
36691958,Venstre,Blue
2711744016,Dansk Folkeparti,Blue
507425094,Socialdemokratiet,Red
47725489,Alternativet,Red
60616448,Socialdemokratiet,Red
2816832612,Radikale Venstre,Red
1076105989,Socialdemokratiet,Red
38842099,Liberal Alliance,Blue
17399318,Det Konservative Folkeparti,Blue
3017243674,Venstre,Blue
3051806933,Dansk Folkeparti,Blue
441744182,Radikale Venstre,Red
3009955973,Dansk Folkeparti,Blue
34215449,Det Konservative Folkeparti,Blue
62066621,Dansk Folkeparti,Blue
602162155,Dansk Folkeparti,Blue
2520181574,Enhedslisten,Red
1375458036,Socialistisk Folkeparti,Red
517340893,Alternativet,Red
69274885,Venstre,Blue
281964770,Liberal Alliance,Blue
72858382,Socialdemokratiet,Red
119879630,Enhedslisten,Red
2423923260,Dansk Folkeparti,Blue
2609016221,Socialistisk Folkeparti,Red
365925653,Det Konservative Folkeparti,Blue
360234529,Radikale Venstre,Red
